店名,評価,レビュー件数,口コミ件数,口コミテキスト,ジャンル
みちくさ食堂,3.05,189,15,"この日のお昼は久しぶりに「みちくさ食堂」さんに訪問❣️

焼肉定食が人気なので迷わずそちらを❣️
… 期待通り✨の味とボリュームで焼肉には細切りのニンジンとピーマン…キャベツ...詳細を見る | 八王子　みちくさ食堂

八王子の加住地区での仕事を終え、この地区の大衆食堂にお伺いしました。
加住地区は、八王子市内から車で３０分以上離れたところにあります。
日本百名城の...詳細を見る | ３月お休みのこの日、突然妻から墓参に誘われた。こういうことは事前に相談あるべきと思うがそこはグッと我慢。逆に「歩いて行こうと」誘うと拒否られる。結局現地集合・現地解散という学生の...詳細を見る",食堂、丼、ラーメン
ハルピン,3.25,651,19,"五反田駅から徒歩で7,8分のところにある、餃子＋料理3品＋ドリンク1杯(生ビールでも)で¥1,463という安すぎる晩酌セットが楽しめる中華料理店です。

元々五反田で目当てのお...詳細を見る | 五反田駅から北上したところにある中華。「哈爾濱」と書いて「ハルピン」なんですね。ハルピンキャベツで有名だけど、中国黒龍江省の都市です。店名はなんか美味しそうだ。お店の前の看板の赤い...詳細を見る | ハルピンと言うお店の名前の通り
店長の奥様がハルピン出身のようです。

お昼時は少し混んでいて、店前のお弁当が
結構売れています。

今日は角煮チャーハンをお願いしまし...詳細を見る",中華料理、居酒屋、担々麺
中華そば 青葉 池袋サンシャイン店,3.37,7938,485,"中華そば 青葉、もう20年ほど通っています。
20年以上前に雑誌でラーメンブームがあったんですが、その時にいつもランキング上位にいましたね。
当時は新宿御苑の近くに店舗があり、...詳細を見る | ある意味、優等生な味わいのラーメンであろう。

そんな風に思ったりする。


中野の青葉本店に通っていたのは、もう10数年前になるだろう。
知り合いが夜の店で働いて...詳細を見る | 券売機。880円。

麺は、流水で締められており、冷や盛りのようですが、あまり締まりきっておらず、温度もヌルめ…少しクオリティに不満を感じざるを得ませんでした。つけ汁は、酸味が...詳細を見る",ラーメン、つけ麺
老李 東京 日本橋本店,3.36,4260,128,"ぐつぐつの麻婆豆腐のビジュアルに惹かれて来店。
辛い物好きの夫婦なので私はノーマル担々麺、妻は麻婆豆腐をどちらも悪魔の激辛でオーダーしてみた。

調理中から店内に鼻がムズムズ...詳細を見る | 「海老風味がすごく美味しいよ」という声を聞き初の訪問。
長崎に本店を持つ台湾料理「老季」が展開してるお店。
お店のカードほ水餃子を推してるみたい。
メニューを見ると数種類の坦...詳細を見る | 2度目の訪問です。
三越前駅から徒歩で3〜4分の場所にあるこちら。
路地裏なので少しわかりづらいところにあります。
ラオリーと店名は読むらしく長崎で創業40年くらいの台湾料理...詳細を見る",中華料理、居酒屋、担々麺
ダルマ飯店,3.28,2904,53,"第159弾！気になっていたお店
～ダルマ飯店～ 

【注文商品】
・ザーサイと胡瓜の海老オイルあえ　500円
・いぶりがっこのカレー風味ポテサラ　500円
・マウンテン焼豚もやし　600円
・チキン南蛮 自家製タルタル 700円
・肉汁蒸籠焼売(3ヶ)　500円
・陳さん直伝エビマヨ　800円
・熱々!!四川風麻婆豆腐　800円
・五目チャーハン　800円
・黒達磨　中華そ...詳細を見る | 美味し過ぎてついつい頼みすぎちゃう
学芸大学にある町中華バルへ行ってきた。

4軒目で伺ったので正直料理はあまり覚えていないが、
「熱々!!四川風麻婆豆腐　800円」がうま...詳細を見る | 2023/4/24オープン！
木曜18:15。
食べログからネット予約して3名で訪問。
カウンターとテーブル席があって、テーブル席でした。
喫煙可能(泣)

◇サッポロ...詳細を見る",中華料理、居酒屋、ラーメン
ぼっけもん,3.37,2769,126,"名物のぼっけもんニンニク麺は、「今まで食べた一番美味しいチャーシュー」と評価される方が居るので、ずっと食べてみたかった。
2022年10月下旬、平日お昼12時、並ばず入店しました。お願いしたのは、もちろん厚み1cm重さ125ｇもチャーシューの乗せてるぼっけもんニンニク麺です。￥1200の高さはちょ...詳細を見る | 2024年7月24日(水)
18時45分頃入店

この日は家内と外食の水曜日
どこにしようか聞いてもどこでもいいみたいな返事。
じゃ先日振られた『ぼっけもん』さんへ

...詳細を見る | らーめん ぼっけもん（木強者）
（東京都狛江市／最寄駅：狛江）

小田急線 狛江駅南口から徒歩2分、駅前の小さな飲み屋街の細い路地裏にひっそりと店を構えるラーメン店「ぼっけも...詳細を見る",ラーメン
らーめん とも,3.23,449,39,"2024年4月15日（月）11時35分ごろ来訪。

以前から気になっていました。
ということで・・・

つけ麺 900円
をいただきます。
一緒に、ネギチャーシュー丼...詳細を見る | 真夏に新規開店している所を通りがかって、気には成っていた店。
旧twitterをチェックしたら期間限定の味噌煮込みタンメンなるメニューが告知
早速訪問してみました、東西線早稲田...詳細を見る | 令和５年８月３０日（水）・都内３１２０件目

以前も十条に本店がある「ちゅるり」というラーメン店が有って
撤退したと思ったら８月１日に新店舗が開店しました。早稲田で
この日...詳細を見る",ラーメン、つけ麺
麻布 チャーシュー軒,3.53,10112,297,"六本木に6月15日オープンした「麻布チャーシュー軒」。
19:00から翌7:00と昼営業無しのお店です。

場所は六本木駅から徒歩6,7分の大通り沿い。
ガラス張りで赤い長テーブルのみの店内は香港の食堂を思わせます。

ここで気になったのが「西荻窪」と書かれたＴシャツを着た調理する男性。...詳細を見る | お盆木曜お昼ごはん、この日はやってるかどうかの情報が無く、イチかバチかで西麻布にあります『麻布チャーシュー軒』さんに行ってみました(^ ^)ノ

とにかく外が死ぬ程暑いんでね、...詳細を見る | 麻布チャーシュー軒（東京／六本木）チャーシューワンタン麺
六本木にできた新しいラーメン屋さん。荻窪のthere is 系とのことで期待大！チャーシュー麺にしようかと悩んだけど、や...詳細を見る",ラーメン
たかのちゅめ,3.70,4923,197,"限定 伏見梅園さんの 福井梅 冷やし 塩らぁめん
　梅ソーダ付き  1,300円

　花小金井駅 北口から徒歩5分、11時09分着 店内へ 左手の券売機で食券を買って、奥様の指示に従い、カウンター席の手前から2番目に 着席でした。
　お客の入りは 7割ぐらい、後客は多数。評価の割りにお客さ...詳細を見る | 冷やしラーメン食べたい季節ですが、食べるなら美味いやつがいいという事で、近場で。近所に名店レベルのラーメン屋さんがあるのはありがたいです。

冷やし鶏そば（醤油）【900円】に...詳細を見る | 平日にラーメンを食べ歩き。
花小金井駅近くにある、TOP5000のこちらに行ってきました！！


店内は落ち着いた照明の綺麗な雰囲気です。
カウンター席と広々したテーブル...詳細を見る",ラーメン
力,3.42,2503,116,"【高田馬場】油そば 力(ちから)
油そばしょうゆ 並盛¥950

お目当て店がまさかの臨時休業…。ということで高田馬場ラーメン難民になってしまい近くで探していると油そば力がヒット！ミャンマーの方が営んでいるお店らしくいざ参る。
高田馬場駅を出て大通りを左に徒歩3分の路面店。平日18時半でスム...詳細を見る | JR、西武、東京メトロが交差する高田馬場駅から落合方向に徒歩数分歩いた場所にあるこちらのお店ですが、主軸は油そばながら、ミャンマーの麺も取り扱っているという不思議なコラボレーション...詳細を見る | 高田馬場は、エジプトとかミャンマー系統のお店が多い気がする。
今回目的地、年に1-2回は行くところなんだけど、ちょっと不便な場所にあって高田馬場からも下落合からも歩くとけっこうな...詳細を見る",油そば・まぜそば、東南アジア料理
